depcom,cp,ncc,nccenr,longitude,latitude
28263,28270,MONTIGNY-SUR-AVRE,Montigny-sur-Avre,1.0216305207743885,48.729221060010794
28264,28240,MONTIREAU,Montireau,1.0256105330352687,48.40805038349956
28265,28240,MONTLANDON,Montlandon,1.0235176037063385,48.3918165569118
28267,28500,MONTREUIL,Montreuil,1.368312936988539,48.77584576899098
28268,28700,MORAINVILLE,Morainville,1.8263625954442895,48.37908861741042
28269,28630,MORANCEZ,Morancez,1.4922272881463698,48.39690475133699
28270,28800,MORIERS,Moriers,1.4368475419031885,48.214407669398945
28271,28340,MORVILLIERS,Morvilliers,0.9365928310573275,48.64410306498363
28272,28160,MOTTEREAU,Mottereau,1.1769040530622896,48.25478234187801
28273,28160,MOULHARD,Moulhard,1.0438812579060586,48.20765361668057
28274,28150,MOUTIERS,Moutiers,1.7756045667296987,48.29669231960504
28275,28210,NERON,Néron,1.5147994016193886,48.60233276819694
28276,28310,NEUVY-EN-BEAUCE,Neuvy-en-Beauce,1.8773760745857793,48.267107376457695
28277,28800,NEUVY-EN-DUNOIS,Neuvy-en-Dunois,1.5380517503471196,48.20670407127687
28278,28630,NOGENT-LE-PHAYE,Nogent-le-Phaye,1.5760089705796594,48.446529395300125
28279,28210,NOGENT-LE-ROI,Nogent-le-Roi,1.5284267807237386,48.648384484309815
28280,28400,NOGENT-LE-ROTROU,Nogent-le-Rotrou,0.8210635343322441,48.320765136479906
28281,28120,NOGENT-SUR-EURE,Nogent-sur-Eure,1.3614076971801397,48.38886979561621
28282,28120,NONVILLIERS-GRANDHOUX,Nonvilliers-Grandhoux,1.1711835064357201,48.34199107115009
28283,28140,NOTTONVILLE,Nottonville,1.5043905026293594,48.11178491114337
28284,28310,OINVILLE-SAINT-LIPHARD,Oinville-Saint-Liphard,1.9158096178991395,48.233271884180624
28285,28700,OINVILLE-SOUS-AUNEAU,Oinville-sous-Auneau,1.727026625198259,48.465340353019286
28286,28120,OLLE,Ollé,1.2966153263374005,48.38705654049029
28287,28140,ORGERES-EN-BEAUCE,Orgères-en-Beauce,1.6849796498928398,48.145436045334954
28289,28210,ORMOY,Ormoy,1.4721856932919302,48.6215864115992
28290,28190,ORROUER,Orrouer,1.2876635619978694,48.41302386477207
28291,28150,OUARVILLE,Ouarville,1.77293626734481,48.353353338289345
28292,28500,OUERRE,Ouerre,1.4657965073633592,48.700672918680354
28293,28260,OULINS,Oulins,1.4705165166850385,48.86445136008679
